author,name,year,genres,annotation,s3_link,local_link
Блок Александр Александрович,"Без божества, без вдохновенья",1921,"['Статья', 'Критика', 'Литературная критика']",(Цех акмеистов),https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1921_bez_bozhestava.txt,"../data/Блок Александр Александрович.""Без божества, без вдохновенья"".1921.txt"
Блок Александр Александрович,Король Лир Шекспира,1920,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1920__koril_lir.txt,"../data/Блок Александр Александрович.""Король Лир'' Шекспира.1920.txt"
Блок Александр Александрович,Нелепый человек,1913,"['Миниатюра', 'Драматургия', 'Театр']",Наброски задуманной пьесы.,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0310.txt,"../data/Блок Александр Александрович.""Нелепый человек"".1913.txt"
Блок Александр Александрович,Пробуждение весны,1907,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1907_probuzhdenie_vesny.txt,"../data/Блок Александр Александрович.""Пробуждение весны"".1907.txt"
Блок Александр Александрович,Рваный плащ,1920,"['Статья', 'Критика', 'Театральная критика']",(пьеса Сема Бенелли).,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1920_rvaniy_plashch.txt,"../data/Блок Александр Александрович.""Рваный плащ"".1920.txt"
Блок Александр Александрович,Религиозные искания и народ,1907,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1907_religioznye_iskaniya.txt,"../data/Блок Александр Александрович.""Религиозные искания"" и народ.1907.txt"
Блок Александр Александрович,Роза и крест (К постановке в Художественном театре),1915,"['Очерк', 'Драматургия', 'Театр']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0232.txt,"../data/Блок Александр Александрович.""Роза и крест"" (К постановке в Художественном театре).1915.txt"
Блок Александр Александрович,Что сейчас делать?..,1918,"['Статья', 'Публицистика', 'Публицистика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1918_chto_delat.txt,"../data/Блок Александр Александрович.""Что сейчас делать?.."".1918.txt"
Блок Александр Александрович,Дон Карлос,1919,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_don_karlos.txt,../data/Блок Александр Александрович.''Дон Карлос''.1919.txt
Блок Александр Александрович,Много шуму из ничего,1919,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_mnogo_shumu.txt,../data/Блок Александр Александрович.''Много шуму из ничего''.1919.txt
Блок Александр Александрович,Разбойники,1919,"['Статья', 'Критика', 'Театральная критика']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1919_razboiniki.txt,../data/Блок Александр Александрович.''Разбойники''.1919.txt
Блок Александр Александрович,А. А. Блок: био-библиографическая справка,1928,"['Статья', 'Критика', 'Справочная', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1928_about.txt,../data/Блок Александр Александрович.А. А. Блок: био-библиографическая справка.1928.txt
Блок Александр Александрович,А. А. Блок: биобиблиографическая справка,1990,"['Статья', 'Справочная', 'Об авторе']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0460.txt,../data/Блок Александр Александрович.А. А. Блок: биобиблиографическая справка.1990.txt
Блок Александр Александрович,А.А. Гизетти. О Блоке,1921,"['Статья', 'Критика', 'О творчестве автора']",,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_0490-1.txt,../data/Блок Александр Александрович.А.А. Гизетти. О Блоке.1921.txt
Блок Александр Александрович,Аветик Исаакиан,1916,"['Сборник стихов', 'Поэзия', 'Переводы', 'Переводы']",Моей материПесни,https://storage.yandexcloud.net/auth-def-2024/raw/blok_a_a_text_1916_arm_poe.txt,../data/Блок Александр Александрович.Аветик Исаакиан.1916.txt
